NOC_CODE,OASIS_LABEL,TEER,Weight
4140,Other social science professionals,1,0.3
4140,Patent agents,1,0.3
4140,Political scientists,1,0.3
4140,Program officers unique to government,1,0.3
4140,Psychometricians,1,0.3
4140,"Recreation, sports and fitness consultants",1,0.3
4140,"Recreation, sports and fitness policy analysts",1,0.3
4140,"Recreation, sports and fitness program supervisors",1,0.3
4140,Science policy and program officers,1,0.3
4140,Social policy researchers,1,0.3
4140,Social service planners,1,0.3
4140,Social survey researchers,1,0.3
4140,Sociologists,1,0.3
4140,Technology transfer officers,1,0.3
4210,Firefighters,2,0.4
4210,Police officers (except commissioned),2,0.4
4210,Specialized members of the Canadian Armed Forces,2,0.4
4220,Early childhood educator assistants,2,0.4
4220,Early childhood educators,2,0.4
4220,Independent paralegals,2,0.4
4220,Instructors of persons with disabilities,2,0.4
4220,Justice of the peace,2,0.4
4220,Notaries public,2,0.4
4220,Paralegals,2,0.4
4220,Religion workers,2,0.4
4220,Social and community service workers,2,0.4
4220,Trademark agents,2,0.4
4310,Driver's license examiners,3,0.6
4310,Driving instructors,3,0.6
4310,Elementary and secondary school teacher assistants,3,0.6
4310,Modelling instructors,3,0.6
4310,Sewing instructors,3,0.6
4320,Animal control officer,3,0.6
4320,Border services and customs officers,3,0.6
4320,By-law enforcement officers,3,0.6
4320,Commercial transport inspectors,3,0.6
4320,Correctional service officers,3,0.6
4320,Garbage collection inspectors,3,0.6
4320,Immigration officers,3,0.6
4320,Liquor licence inspectors,3,0.6
4320,Operations Members of the Canadian Armed Forces,3,0.6
4320,Parking control officers,3,0.6
4320,Sheriffs and bailiffs,3,0.6
4320,Taxi inspectors,3,0.6
4320,Zoning inspectors,3,0.6
4410,Foster parents,4,0.8
4410,Home child care providers,4,0.8
4410,"Home support workers, caregivers and related occupations",4,0.8
4420,Primary combat members of the Canadian Armed Forces,4,0.8
4510,Crossing guards,5,0.95
4510,Student monitors,5,0.95
5001,"Library, archive, museum and art gallery managers",0,0.2
5001,"Managers - publishing, motion pictures, broadcasting and performing arts",0,0.2
5001,"Recreation, sports and fitness program and service directors",0,0.2
5110,Archivists,1,0.3
5110,Conservators,1,0.3
5110,Curators,1,0.3
5110,Librarians,1,0.3
5111,Content writers (non-technical),1,0.3
5111,Copywriters,1,0.3
5111,Editors,1,0.3
5111,Interpreters,1,0.3
5111,Journalists,1,0.3
5111,"Novelists, playwrights, script writers, poets and other creative writers",1,0.3
5111,Sign language Interpreters,1,0.3
5111,Technical writers,1,0.3
5111,Terminologists,1,0.3
5111,Translators and translator-revisers,1,0.3
5112,Arrangers,1,0.3
5112,Art directors,1,0.3
5112,Choreographers,1,0.3
5112,Composers,1,0.3
5112,Conductors,1,0.3
5112,Directors,1,0.3
5112,Directors of photography,1,0.3
5112,Film editors,1,0.3
5112,"Film, radio, television and video game producers",1,0.3
5112,Musicians,1,0.3
5112,Record producers,1,0.3
5112,Singers,1,0.3
5112,Teachers of music or voice,1,0.3
5210,Library Technicians,2,0.4
5210,Public archive technicians,2,0.4
5211,Announcers and other broadcasters,2,0.4
5211,Audio and video recording technicians,2,0.4
5211,Broadcast technicians,2,0.4
5211,Costumiers,2,0.4
5211,Film and video camera operators,2,0.4
5211,Floor managers,2,0.4
5211,Gaffers and lighting technicians,2,0.4
5211,Graphic arts technicians,2,0.4
5211,Key grips,2,0.4
5211,Make-up artists,2,0.4
5211,Settings shop foremen and property masters,2,0.4
5211,Stunt co-ordinators and special effects technicians,2,0.4
5212,Graphic designers,2,0.4
5212,Illustrators,2,0.4
5212,Interior designers and interior decorators,2,0.4
5310,Conservation and restoration technicians,3,0.6
5310,"Curatorial assistants, museum extension officers, museology technicians and museum registrars and cataloguers",3,0.6
5310,Museum interpreters,3,0.6
5310,Preparators and picture framers,3,0.6
5310,Taxidermists,3,0.6
5311,Camera crane operators,3,0.6
5311,Dressers,3,0.6
5311,Grips and riggers,3,0.6
5311,Motion picture projectionists,3,0.6
5311,Photographers,3,0.6
5311,Production assistants,3,0.6
5311,Props persons and set builders,3,0.6
5311,Scripts assistants,3,0.6
5312,Acting teachers,3,0.6
5312,Actors and comedians,3,0.6
5312,Art instructors and teachers,3,0.6
5312,Artistic floral arrangers,3,0.6
5312,Carvers,3,0.6
5312,Circus and other performers,3,0.6
5312,Craft instructors,3,0.6
5312,Dance teachers,3,0.6
5312,Dancers,3,0.6
5312,Exhibit designers,3,0.6
5312,Fashion designers,3,0.6
5312,Glass blowers,3,0.6
5312,Instrument makers,3,0.6
5312,Metal art workers,3,0.6
5312,Painters,3,0.6
5312,"Patternmakers - textile, leather and fur products",3,0.6
5312,Potters,3,0.6
5312,Sculptors,3,0.6
5312,Stained glass artists,3,0.6
5312,Theatre designers,3,0.6
5312,Weavers,3,0.6
5320,Athletes,3,0.6
5320,Coaches,3,0.6
5320,Sports officials and referees,3,0.6
5320,Sports scouts,3,0.6
5410,Fitness appraisers,4,0.8
5410,Program leaders and instructors in recreation and sport,4,0.8
5510,Buskers,5,0.95
5510,Fashion Models,5,0.95
5510,Influencers,5,0.95
5510,Magicians and illusionists,5,0.95
6001,Corporate sales managers,0,0.2
6002,Retail and wholesale trade managers,0,0.2
